,tradeDate,closeIndex,highestIndex,lowestIndex,turnoverVol,CHG,CHGPct
0,2005-04-08,1003.45,1003.7,979.53,1476252600,18.72,0.01901
1,2005-04-11,995.42,1008.74,992.77,1593606600,-8.03,-0.008002
2,2005-04-12,978.7,993.71,978.2,1022619300,-16.72,-0.016797
3,2005-04-13,1000.9,1006.5,987.95,1607168700,22.2,0.022683
4,2005-04-14,986.98,1006.42,985.58,1294571000,-13.92,-0.013907
5,2005-04-15,974.08,982.61,971.93,1040895500,-12.9,-0.01307
6,2005-04-18,963.77,970.91,958.65,859840000,-10.31,-0.010584
7,2005-04-19,965.89,968.87,957.91,921262300,2.12,0.0022
8,2005-04-20,950.87,964.15,946.2,885070500,-15.02,-0.01555
9,2005-04-21,943.98,955.55,938.6,994614500,-6.89,-0.007246
10,2005-04-22,939.1,947.91,934.96,1069188400,-4.88,-0.00517
11,2005-04-25,930.07,935.99,920.16,1147047800,-9.03,-0.009616
12,2005-04-26,937.08,939.7,924.66,1169047100,7.01,0.007537
13,2005-04-27,926.6,938.91,925.9,1078061100,-10.48,-0.011184
14,2005-04-28,942.07,945.5,914.83,1434348600,15.47,0.016695
15,2005-04-29,932.4,942.45,929.81,1123541900,-9.67,-0.010265
16,2005-05-09,909.17,937.39,909.17,852911500,-23.23,-0.024914
17,2005-05-10,913.08,913.39,892.31,1049433100,3.91,0.004301
18,2005-05-11,901.85,917.22,900.44,904204700,-11.23,-0.012299
19,2005-05-12,885.82,900.06,883.51,1022872000,-16.03,-0.017775
20,2005-05-13,887.54,898.51,875.58,1124490600,1.72,0.001942
21,2005-05-16,875.27,885.39,869.33,822428800,-12.27,-0.013825
22,2005-05-17,881.46,888.28,868.21,877227300,6.19,0.007072
23,2005-05-18,883.2,890.4,871.82,787861000,1.74,0.001974
24,2005-05-19,884.17,888.02,871.29,814958300,0.97,0.001098
25,2005-05-20,882.76,891.02,879.18,722667600,-1.41,-0.001595
26,2005-05-23,863.34,880.28,862.1,727979500,-19.42,-0.021999
27,2005-05-24,868.46,871.77,855.59,920692900,5.12,0.00593
28,2005-05-25,868.45,876.31,861.66,723855600,-0.01,-1.2e-05
29,2005-05-26,857.33,872.84,854.96,662278600,-11.12,-0.012804
30,2005-05-27,849.51,864.96,848.4,774998300,-7.82,-0.009121
31,2005-05-30,855.61,858.46,842.1,697158300,6.1,0.007181
32,2005-05-31,855.95,863.2,853.29,704782100,0.34,0.000397
33,2005-06-01,837.53,857.66,836.04,790230200,-18.42,-0.02152
34,2005-06-02,818.38,835.49,812.99,950865700,-19.15,-0.022865
35,2005-06-03,818.03,823.86,807.97,793605600,-0.35,-0.000428
36,2005-06-06,839.0,839.15,807.78,900918500,20.97,0.025635
37,2005-06-07,837.28,858.09,835.18,1306706800,-1.72,-0.00205
38,2005-06-08,905.77,908.83,844.47,3290783900,68.49,0.081801
39,2005-06-09,912.6,925.37,895.04,3314184000,6.83,0.007541
40,2005-06-10,894.56,911.94,889.1,2239150200,-18.04,-0.019768
41,2005-06-13,892.96,900.18,877.69,1562800200,-1.6,-0.001789
42,2005-06-14,883.54,905.42,882.86,1434357000,-9.42,-0.010549
43,2005-06-15,866.83,881.25,865.14,1145405600,-16.71,-0.018913
44,2005-06-16,879.24,879.49,861.83,1104968500,12.41,0.014317
45,2005-06-17,880.35,888.08,876.04,1496300900,1.11,0.001262
46,2005-06-20,906.26,906.48,872.56,1899208200,25.91,0.029431
47,2005-06-21,896.17,906.31,894.39,1277478400,-10.09,-0.011134
48,2005-06-22,900.65,901.24,891.93,1047813400,4.48,0.004999
49,2005-06-23,893.57,904.9,892.83,950930800,-7.08,-0.007861
50,2005-06-24,898.3,898.67,888.4,891873900,4.73,0.005293
51,2005-06-27,916.04,920.65,904.21,1654540200,17.74,0.019748
52,2005-06-28,903.72,913.48,901.21,1040221900,-12.32,-0.013449
53,2005-06-29,898.9,907.57,898.08,1080674600,-4.82,-0.005334
54,2005-06-30,878.69,897.1,876.88,1085547200,-20.21,-0.022483
55,2005-07-01,859.49,875.94,858.37,1009459697,-19.2,-0.021851
56,2005-07-04,855.93,856.1,842.81,884027653,-3.56,-0.004142
57,2005-07-05,849.68,856.74,845.36,799268838,-6.25,-0.007302
58,2005-07-06,842.56,854.45,838.61,689831392,-7.12,-0.00838
59,2005-07-07,844.73,848.02,839.28,596246491,2.17,0.002575
60,2005-07-08,829.49,842.62,827.23,722100042,-15.24,-0.018041
61,2005-07-11,824.1,850.66,822.52,843900554,-5.39,-0.006498
62,2005-07-12,851.82,854.29,818.86,1498987066,27.72,0.033637
63,2005-07-13,846.23,851.95,841.86,939884217,-5.59,-0.006562
64,2005-07-14,849.59,856.1,843.18,936196801,3.36,0.003971
65,2005-07-15,841.0,854.6,837.78,888956339,-8.59,-0.010111
66,2005-07-18,833.0,840.01,829.68,850000637,-8.0,-0.009512
67,2005-07-19,835.61,840.14,829.28,789181779,2.61,0.003133
68,2005-07-20,842.64,844.71,832.14,852647308,7.03,0.008413
69,2005-07-21,843.99,843.99,835.76,836610097,1.35,0.001602
70,2005-07-22,859.69,867.17,842.99,2163097613,15.7,0.018602
71,2005-07-25,856.86,860.95,854.28,1181607969,-2.83,-0.003292
72,2005-07-26,876.48,880.03,856.19,2182677591,19.62,0.022898
73,2005-07-27,894.01,894.03,876.04,2040953728,17.53,0.02
74,2005-07-28,890.89,901.0,888.5,2062252706,-3.12,-0.00349
75,2005-07-29,888.16,892.29,883.38,1339740598,-2.73,-0.003064
76,2005-08-01,891.61,897.29,885.85,1180830918,3.45,0.003884
77,2005-08-02,903.6,903.65,888.4,1429254743,11.99,0.013448
78,2005-08-03,909.57,919.28,903.76,2578629807,5.97,0.006607
79,2005-08-04,904.15,909.83,901.63,1451925560,-5.42,-0.005959
80,2005-08-05,923.8,923.81,903.94,1912376473,19.65,0.021733
81,2005-08-08,927.47,933.15,923.57,2160894430,3.67,0.003973
82,2005-08-09,933.09,933.39,919.11,1953290746,5.62,0.006059
83,2005-08-10,940.37,940.37,926.28,2151576251,7.28,0.007802
84,2005-08-11,953.99,953.99,939.39,2707366644,13.62,0.014484
85,2005-08-12,938.32,959.27,933.99,2916814435,-15.67,-0.016426
86,2005-08-15,954.5,954.5,936.11,2043081347,16.18,0.017244
87,2005-08-16,945.06,959.34,939.92,2386181791,-9.44,-0.00989
88,2005-08-17,953.01,953.34,930.33,2145776865,7.95,0.008412
89,2005-08-18,920.67,956.84,919.12,3185532658,-32.34,-0.033935
90,2005-08-19,923.04,927.32,910.08,2224267940,2.37,0.002574
91,2005-08-22,931.67,933.35,919.22,1603100973,8.63,0.00935
92,2005-08-23,923.41,931.81,915.03,1540648815,-8.26,-0.008866
93,2005-08-24,930.65,935.23,923.56,1595974747,7.24,0.007841
94,2005-08-25,930.12,933.2,920.61,1629205702,-0.53,-0.000569
95,2005-08-26,928.26,930.33,921.84,1542980361,-1.86,-0.002
96,2005-08-29,917.37,928.34,913.77,1546226094,-10.89,-0.011732
97,2005-08-30,914.88,920.21,912.84,1243817039,-2.49,-0.002714
98,2005-08-31,927.92,928.21,911.51,1462362986,13.04,0.014253
99,2005-09-01,944.56,944.95,926.06,2230638364,16.64,0.017933
100,2005-09-02,947.87,947.92,941.31,1861443797,3.31,0.003504
101,2005-09-05,952.72,952.99,944.63,1784331803,4.85,0.005117
102,2005-09-06,936.61,956.3,934.97,2122225535,-16.11,-0.016909
103,2005-09-07,952.76,952.9,932.65,1960846569,16.15,0.017243
104,2005-09-08,955.28,958.87,947.71,2242439335,2.52,0.002645
105,2005-09-09,949.07,959.9,946.02,1621931001,-6.21,-0.006501
106,2005-09-12,949.51,952.55,945.4,1167261344,0.44,0.000464
107,2005-09-13,963.77,963.92,948.13,1657943068,14.26,0.015018
108,2005-09-14,970.19,970.26,961.64,1995829050,6.42,0.006661
109,2005-09-15,969.6,970.96,965.66,1637767923,-0.59,-0.000608
110,2005-09-16,967.5,970.37,964.29,1397857095,-2.1,-0.002166
111,2005-09-19,971.14,971.99,964.26,1473742101,3.64,0.003762
112,2005-09-20,961.92,971.65,957.12,1863660434,-9.22,-0.009494
113,2005-09-21,944.41,961.37,943.82,1854189548,-17.51,-0.018203
114,2005-09-22,923.27,942.73,914.23,1811552476,-21.14,-0.022384
115,2005-09-23,916.15,927.42,914.81,1154764377,-7.12,-0.007712
116,2005-09-26,918.49,919.65,913.61,883624097,2.34,0.002554
117,2005-09-27,904.21,921.13,903.39,1108605626,-14.28,-0.015547
118,2005-09-28,903.72,910.33,901.38,885030980,-0.49,-0.000542
119,2005-09-29,915.98,915.98,904.28,1193897751,12.26,0.013566
120,2005-09-30,917.39,918.66,913.45,900143263,1.41,0.001539
121,2005-10-10,907.32,917.21,906.88,715845087,-10.07,-0.010977
122,2005-10-11,919.72,919.8,904.05,775829492,12.4,0.013667
123,2005-10-12,923.49,926.09,917.38,1220885175,3.77,0.004099
124,2005-10-13,916.5,926.01,916.28,1082890379,-6.99,-0.007569
125,2005-10-14,904.83,917.89,902.81,1012394049,-11.67,-0.012733
126,2005-10-17,897.62,903.27,892.36,1055250559,-7.21,-0.007968
127,2005-10-18,902.37,903.0,895.62,1136631672,4.75,0.005292
128,2005-10-19,898.74,907.88,897.05,1103304752,-3.63,-0.004023
129,2005-10-20,899.92,900.13,889.57,1260872463,1.18,0.001313
130,2005-10-21,904.41,907.79,897.99,1136458825,4.49,0.004989
